text,gold_label,VADER,TextBlob,DistilBERT,GPT,n_disagreements,n_unique_predictions
What i have experienced is fear of failure,Neutral,Negative,Positive,Negative,Negative,4,2
You can find an end to end develop and manufacture solution for the boards. FW/HW and turn key manufacturing. That will run you $30k to $200k depending on your design and what the end product should l,Neutral,Positive,Positive,Negative,Neutral,3,3
"[OFFERING] — Social Media Content Creator / Scheduler / Poster URL: Pitch: I’d like to offer all users here 90 days free, no strings attached, on one of our paid plans to help manage and scale your so",Neutral,Positive,Positive,Negative,Neutral,3,3
"If you need it yourself, and I mean need and would be willing to pay for it today, not ""nice to have"", then that could count as validation by one person and unless you plan on spending ages on the pro",Neutral,Negative,Positive,Positive,Neutral,3,3
"Hey Andy, I have a startup which I co-founded 3 years ago with my friend, who serves as the CTO. My friend is now leaving due to health issues and we are in the middle of a massive pivot. I need a CTO",Neutral,Positive,Positive,Negative,Neutral,3,3
\[SEEKING\] \[JOB\] Pitch: Bilingual Recruiting/ People Ops / DEI / Employee Experience specialist with 10+ years in recruiting and program coordination. I’ve led full-cycle recruiting for technical a,Neutral,Positive,Negative,Positive,Neutral,3,3
"Everyone buys with their eyes, first. Are you losing potential sales at first glance? Hi, I'm Sam - a design partner and printer. I have over 10 years experience in design - especially branding, print",Neutral,Positive,Positive,Negative,Neutral,3,3
Ha! I know how this feels! Spent a year involved in a cancer app. Huge issues with monetization plans. Had to leave as I could see no way the problems were going to get solved...,Neutral,Negative,Positive,Negative,Neutral,3,3
getting the funding for my kickstarter campaign . My invention is actually good but my kickstarter is dead,Neutral,Negative,Positive,Negative,Neutral,3,3
"I've worked on similar automation projects and can share some insights. For Unknown, automating data entry typically saves significant time. The key is building systems that can grow with your busines",Neutral,Positive,Positive,Positive,Neutral,3,2
"Thanks for your reply, as for coaching and helping people, picking someone up is something I would pay money to do and not the other way around, I hate to use that as a means to make money the only re",Neutral,Negative,Positive,Negative,Neutral,3,3
"Smart entrepreneurs find the clients BEFORE they build the product, preferably money / investment alongside it. Rule #1 of being a successful startup is don’t use your own money. Have someone else tak",Neutral,Positive,Positive,Positive,Neutral,3,2
This is a very common trap. Don't fall into it. Validation is the most important job. Not building. If you are not able to validate your idea you will not be able to sell it,Neutral,Negative,Positive,Negative,Neutral,3,3
"sure, Buyer intent: people who are actively researching before purchasing. Exp: Best CRM for real estate business. Top consultant in \[city name\]. Sales Intent: people who already know their problem ",Neutral,Positive,Positive,Positive,Neutral,3,2
Self funding is a dangerous game. I can self fund but I usually don’t because I want external validation to make sure I am not being stupid. Also some people don’t like this but it also helps create b,Neutral,Positive,Positive,Negative,Neutral,3,3
